block_number,block_gas_used,tx_count,block_gas_used_lag_1,tx_count_lag_1
21331104,16597380,240,13963498.0,200.0
21331105,16357195,174,16597380.0,240.0
21331106,6941719,132,16357195.0,174.0
21331107,19142146,247,6941719.0,132.0
21331108,18824144,209,19142146.0,247.0
21331109,14889378,212,18824144.0,209.0
21331110,6965961,108,14889378.0,212.0
21331111,11328136,151,6965961.0,108.0
21331112,25266280,357,11328136.0,151.0
21331113,14451221,193,25266280.0,357.0
21331114,12745451,177,14451221.0,193.0
21331115,2408872,19,12745451.0,177.0
21331116,29991599,497,2408872.0,19.0
21331117,28608600,381,29991599.0,497.0
21331118,11416824,145,28608600.0,381.0
21331119,14582825,188,11416824.0,145.0
21331120,8799588,111,14582825.0,188.0
21331121,25227886,293,8799588.0,111.0
21331122,13569991,153,25227886.0,293.0
21331123,13137143,143,13569991.0,153.0
21331124,21023743,248,13137143.0,143.0
21331125,16510154,198,21023743.0,248.0
21331126,11471643,162,16510154.0,198.0
21331127,17465548,237,11471643.0,162.0
21331128,12784716,162,17465548.0,237.0
21331129,24758516,315,12784716.0,162.0
21331130,14463040,203,24758516.0,315.0
21331131,10460574,139,14463040.0,203.0
21331132,16445729,237,10460574.0,139.0
21331133,11218535,165,16445729.0,237.0
21331134,23128346,241,11218535.0,165.0
21331135,9455318,159,23128346.0,241.0
21331136,19297158,258,9455318.0,159.0
21331137,21165229,216,19297158.0,258.0
21331138,7545280,129,21165229.0,216.0
21331139,23421060,297,7545280.0,129.0
21331140,17053246,191,23421060.0,297.0
21331141,15974392,215,17053246.0,191.0
21331142,4259533,75,15974392.0,215.0
21331143,19835786,295,4259533.0,75.0
21331144,12532255,171,19835786.0,295.0
21331145,13867492,191,12532255.0,171.0
21331146,18034037,229,13867492.0,191.0
21331147,9527516,145,18034037.0,229.0
21331148,15106125,237,9527516.0,145.0
21331149,13949071,214,15106125.0,237.0
21331150,9032334,138,13949071.0,214.0
21331151,22123488,330,9032334.0,138.0
21331152,12039875,174,22123488.0,330.0
21331153,9481811,129,12039875.0,174.0
21331154,20132778,254,9481811.0,129.0
21331155,13350500,150,20132778.0,254.0
21331156,6444368,113,13350500.0,150.0
21331157,29772561,349,6444368.0,113.0
21331158,12105015,156,29772561.0,349.0
21331159,17534889,237,12105015.0,156.0
21331160,21386711,158,17534889.0,237.0
21331161,10614038,151,21386711.0,158.0
21331162,15797216,178,10614038.0,151.0
21331163,14811030,199,15797216.0,178.0
21331164,16468002,248,14811030.0,199.0
21331165,9678031,132,16468002.0,248.0
21331166,14533216,196,9678031.0,132.0
21331167,14915337,250,14533216.0,196.0
